Label,Raw_tweet,Cleaned_Traditional
fear,"ketika idung nyium bau bau gaenak lalu temen yg rumahnya lumayan jauh ngechat di wa ""kalian nyium bau gas ga ?"" NJIRRR IYA INI BAU GAS  INI BUKAN GAS BERACUN KAN HUH ? KO JADI PARNO SIH",timbang timbang anakku sayang buah hati ku sepajang jalan siang malan aku selalu berdoa semoga kelak kamu bahagia selalu hari anak nasional
fear,"/rlt guys aku mau nanya. Aku bingung, aku ketrima u'p'n vj sama un air. Aku suka jurusan yg di u pn tp aku anak daerah, agak takut di jkt. Dan yg un air uda dibayar. Mohon sarannya.",rlt teman-teman saya ingin bertanya saya bingung saya diterima u p dan veteran jakarta sama un air saya suka jurusan yang di kamu pn tetapi saya anak daerah agak takut di jakarta dan yang un air sudah dibayar mohon sarannya
anger,"heii..hey km para kaum adam hr gini msih mau aj Trnsfer""/ DP""sedihh kan klw di block stelah Tf...mk ny yg Real"" aja klw mw ktmuan sma kaum hawa...hihiiihii",hai hey kamu para kaum adam hari begini masih ingin saja trnsfer uang muka sedih kan kalau di block setelah tf maka nya yang real saja kalau ingin ktmuan sama kaum hawa hihhii
anger,dia ! emang'a apa kya a tahu ! masalah'a sih sepele tapi bisa bikin saya ngedown,dia memang a apa kaya a tahu masalah a sih sepele tetapi bisa buat saya ngedown
anger,Hey kamuuhhh!! semoga qt dijauhkan dari keputusan yang bodoh ituu Selamat menjalankan ibadah puasa juga budiirrr@olfi_opi,hey kamuu semoga kita dijauhkan dari keputusan yang bodoh itu selamat menjalankan ibadah puasa juga budii
love,"Tadi Siang,Aku Mimpi Bang Tomi.Di Mimpi Itu Aku dan Bang Tomi Kelihatan Akrab...bngt.Sampe,Bang Tomi Ngerangkul Pundak Aku Erat...bngt.Apa,ya...Arti Mimpi itu...???",tadi siang aku mimpi bang tomi di mimpi itu saya dan bang tomi kelihatan akrab banget sampai bang tomi ngerangkul pundak saya erat banget apa iya arti mimpi itu
happy,"Inget tebak tebakan dulu: Budi: ikan, ikan apa yang bentuknya segitiga? Aisyah: Ikan Sepat Budi: kurang tepat ayy Aisyah: trus apa dong! *Mendesak penasaran Budi: Iiikancut luuu.. Nb: Seketika hening, 5 detik kemudian tertawa malu. Wkwkwkwk #recehkantwitter",ingat tebak tebakan dulu budi ikan ikan apa yang bentuknya segitiga aisyah ikan sepat budi kurang tepat sayang aisyah terus apa dong mendesak penasaran budi kancut l nb seketika hening detik kemudian tertawa malu wkwkwkwk recehkan twitter
fear,"+ Oleh paman nya kemarin. Namun tiba tiba ada seorang pria paruh baya datang menghampiri nya sambil membawa sebuah papan nama bertuliskan namanya. ""Ini mas jefry?"" Tanya nya dengan agak sedikit ragu karena sepertinya dia takut salah mengira orang +",oleh paman nya kemarin namun tiba tiba ada seorang pria paruh baya datang menghampiri nya sambil membawa satu buah papan nama bertuliskan namanya ini mas jefry tanya nya dengan agak sedikit ragu karena sepertinya dia takut salah mengira orang
anger,"[USERNAME] .... Harga sepatu saja 13,6 jt.... Gimana mau bicara rakyat miskin.....?? Harga sepatu 13, 6 jt. Itu = 6 x rata2 UMR /bln Rakyat ..... Masih mau ngomong kemiskinan Rakyat....??",harga sepatu saja juta bagaimana ingin bicara rakyat miskin harga sepatu juta itu x rata upah minimum regional bulan rakyat masih ingin bicara kemiskinan rakyat
anger,#CalonPenghuniNeraka INI SERIUS Buat elu semua para player troll player toxic player noob terutama di game vainglory Elu gak gue maafin. Jancok Neraka bangsaaaaat,calon penghuni neraka ini serius buat lu semua para player memancing kemarahan player toxic player cupu terutama di game vainglory lu tidak saya memaafi jancok neraka bangsaat
happy,"LoveLaws - TT (2018) Gak paham gue sama mbak gitaris Warpaint satu ini, keren banget. Gue denger album ini kayak exposing her romantic side nya gitu tp jir berhasil banget, vibe nya fierce tp vurnerable + seducing at the same time. W paling suka lagu Love Leaks sm I've Been Fine [URL]",lovelaws tt tidak paham saya sama mbak gitaris warpaint satu ini keren banget saya dengar album ini mirip exposing dia romantic samping nya begitu tetapi anjing berhasil banget atmosfer nya fierce tetapi rentan menggoda at the sama time saya paling suka lagu cinta leaks sama i ve sudah fine
happy,Dulu kaya hampir setengah jam atau 2*x sesi jelasin org korea kata *Cie*...sampe pake di dramain biat pd nyambung... Akhirnya baru pd ngerti dan nemu padanan kata ke korea.. trus skrg gw yg lupa bhs koreanya cie apa hahahhaa [URL],dulu kayak hampir setengah jam atau x sesi jelasin orang korea kata cie sampai pakai di dramain agar pada menyambung akhirnya baru pada mengerti dan temu padanan kata ke korea terus sekarang saya yang lupa bahas koreanya cie apa tertawa
fear,punya kebiasaan kekamar mandi tengah malem berhubung kamarmandinya lagi dibenerin jadi pake kamarmandi tempat lain tapi kamarmandinya serem I'm scared &gt&,punya kebiasaan ke kamar mandi tengah malam berhubung kamarmandinya sedang dibenarkan jadi pakai kamarmandi tempat lain tetapi kamarmandinya seram i sama takut begitu
anger,"ELING GA SIH NIH 3????!!!!!! BIASANYA SECEPAT KILAT, SKRG LAMBAT BGT INSTAGRAM GA KE REFRESH SAMA SEKALI TWITTER JUGA SAMA!!!!!!!!!!! GIMANA NIH? BOSEN NANYAIN NOMOR MULU TAPI UDAH 5 HARI SELAMBAT INI [USERNAME]",eling tidak sih nih biasanya secepat kilat sekarang lambat sangat instagram tidak ke refresh sama sekali twitter juga sama bagaimana nih bosan menanyakan nomor terus tetapi sudah hari selambat ini
fear,[USERNAME] demi apapun w takut ama ntu hewan. trauma pernah digigit dan w abis itu ke rumah sakit gegara keracunan. padahal digigit sama yang kecil masih anaknya gitu tapi buset dah w langsung pusing lemes. jadi ampe sekarang kalau ngeliat ini hewan langsu,demi apa pun saya takut sama itu hewan trauma pernah digigit dan saya habis itu ke rumah sakit gegara keracunan padahal digigit sama yang kecil masih anaknya begitu tetapi buset sudah saya langsung pusing lemas jadi sampai sekarang kalau melihat ini hewan langsung
love,":: meski aku golput.. tp salut [USERNAME] .. ia satu2nya presiden #RakyatIndonesia yg bisa menangis di depan publik... :: memang tak sedikit lawan2 politiknya.. mngcap dia sombong.. :: tapi, nyatanya, ia menangis.. :: :: #SaveNKRI [URL]",meski saya golongan putih tetapi salut ia satu nya presiden rakyatindonesia yang bisa menangis di depan publik memang tidak sedikit lawan politiknya mengecap dia sombong tetapi nyatanya ia menangis savenkri
anger,bacot parah galak kalau udah marah jan mau deh dimarahin lex. caca aja kapokgabisa dibohongin kalau ttg cinta tp knpa ttg lainnya lu bege ya susah beud disuruh tidur atau makan my human diary yang kita dkt gatau grgr,banyak bicara parah galak kalau sudah marah jangan ingin deh dimarahi lex caca saja kapok gabisa dibohongin kalau tentang cinta tetapi kenapa tentang lainnya kamu bege iya susah banget disuruh tidur atau makan my manusia diary yang kita dekat tidak tahu gara gara
fear,"[USERNAME] nyabutnya santae aja pake jari asal jgn kena kuku. beli softlennya yg emg bagus dan jelas. dulu ku pernah beli soflen di tmn cuma yg warna22an gt biasanya item. terus lg gangapa22in ujug22 gatel perih etaunya robek :,( untung cepet22 dikeluari",nyabutnya santae saja pakai jari asal jangan kena kuku beli softlennya yang memang bagus dan jelas dulu aku pernah beli softlense di teman cuma yang warna an begitu biasanya hitam terus sedang gangapa ini ujug gatal perih etaunya robek untung cepat dikeluari
fear,Hanya mampu retweet bagi peminat cerita seram tengok je lah. Saya penakut. Kalau tengok kat wayang ni dengar suara aku sorang je menjerit walaupun tutup mata,hanya mampu retweet bagi peminat cerita seram tengok je lah saya penakut kalau tengok kat wayang ini dengar suara saya seorang je menjerit walaupun tutup mata
love,"Haha, tiap hari juga kamu selalu terpesona dan semakin terpesona sama aku kkk~",tertawa tiap hari juga kamu selalu terpesona dan semakin terpesona sama saya 
fear,Apa yang akan kamu lakukan jika ada singa masuk ke rumahmu? nyuruh singanya makan kau. biar mati kenak makan singa. uh ngeri ya off anonla m h e h e,apa yang akan kamu lakukan jika ada singa masuk ke rumahmu Suruh singa nya makan kau biar mati kenak makan singa uh negeri iya off anonla sama h e h e
love,"Kalo udah sayang beneran itu mau dihadapkan sama cowok yang lebih tajir +++, ganteng +++, pinter +++, serba +++, dll itu pasti bakalan tetep ga mau berpindah",kalau sudah sayang benar itu ingin dihadapkan sama cowok yang lebih kaya ganteng pintar serba dan lain itu pasti akan tetap tidak ingin berpindah
fear,"[USERNAME] Lagi main di rumah temen tuh. Pas pipis liat cd udah merah gitu. Langsung izin pulang bilangnya mendadak sakit Pas sampe rumah bilang, ""itu""kakak berdarah mah. Takut. Soalnya emang pas main jatuh. Pas diliat dibilang mens. Hue besoknya pe",sedang main di rumah teman tuh pas kencing lihat cd sudah merah begitu langsung izin pulang katanya mendadak sakit pas sampai rumah bilang itu kakak berdarah mah takut sebab memang pas main jatuh pas dilihat dibilang mens hue besoknya pe
love,SATU LAGI KALIAN DUA AKUN BASE YANG PALING AKU SAYANG. YANG PALING BISA MENGINGATKAN SATU SAMA LAIN. DAN MAKASIH BANYAK BUAT ADMIN2NYAAA ILY ILY ILY I PURPLE YOU! [USERNAME] [USERNAME] [USERNAME],satu sedang kalian dua akun base yang paling saya sayang yang paling bisa mengingatkan satu sama lain dan makasih banyak buat admin ny saya cinta kamu saya cinta kamu saya cinta kamu i purple kamu
fear,[USERNAME] libur tapi ini tugas dikumpulin senin aq takut kalo tida selesai p.s sekali lagi ngirim foto yoongi yang macem gituan AQ BLOCK p.s.s SAME ENERGY WITH THIS PICT DJKDDJDLDL [URL],libur tetapi ini tugas dikumpulin senin saya takut kalau tidak selesai p si sekali sedang mengirim foto yoongi yang macam begitu saya block p si si sama energy dengan this pict djkddjdldl
anger,"[USERNAME] [USERNAME] bisa juga dengan sepatah awalan di depan kalimat: ""makanya.........."" ""Kan udah gue bilang......."" ""Ngotot sih dikasih tau......"" ""Pala batu sih....."" Et cetera~",bisa juga dengan sepatah awalan di depan kalimat makanya kan sudah saya bilang keras kepala sih dikasih tahu kepala batu sih et cetera
sadness,"*Ngbrol masalah gaji* Atasan aing : waktu itu gmna sih ndre detail gajimu? Yg di jelasin pak **** Aing: gatau pak, saya nanyain gaji aja malah di marahin Atasan aing:....... Aing:......... SAVAGE *langsung ada backsound mobile legend",ngbrol masalah gaji atasan saya waktu itu bagaimana sih ndre detail gajimu yang di jelasin pak saya tidak tahu pak saya menanyakan gaji saja bahkan di marahin atasan saya saya savage langsung ada backsound mobile legend
sadness,"Gue pun juga ngatain sesama perempuan, memutus rantai akan julit emang susah owislah~~ ibarate sego uwis dadi bubur~ flying money money",saya pun juga mengutuk sesama perempuan memutus rantai akan iri memang susah owislah ibarat nya sego uwis dadi bubur flying money money
anger,"Kasus via Vallen, itu juga sering terjadi kok, dari yang gue kenal orang nya sampai gk gue kenal orang nya, sering bertebaran gambar t*t*t di DM gue , messenger, WA lah yg gue lakukan block, block or report akun nya, kelar",kasus via vallen itu juga sering terjadi kok dari yang saya kenal orang nya sampai tidak saya kenal orang nya sering bertebaran gambar t t t di pesan langsung saya messenger saya lah yang saya lakukan block block atau laporan akun nya selesai
fear,aku takut dngn smua bnda.. ap y bkl trjadi ap y tgh tjadi kat sekeliling aku.. aku takut dngn diri sndiri.. hate this feeling.. just wanna die rn.. fml,saya takut dengan semua benda apa ya bakal terjadi apa ya tengah tjadi kat sekeliling aku saya takut dengan diri sendiri benci this feeling hanya ingin mati rn fml
anger,"[USERNAME] [USERNAME] [USERNAME] Dan lebihnya speak up itu dikatain lebay, cari sensasi dsb Mereka ga mikir, kalo mau speak up itu butuh keberanian, karna sebenernya pelecehan itu aib tp kalo ga speak up itu orang jg ga bakal jera, ga ngerasa mal",dan lebihnya berbicara up itu di katain berlebihan cari sensasi dan sebagainya mereka tidak pikir kalau ingin berbicara up itu butuh keberanian karena sebenarnya pelecehan itu aib tetapi kalau tidak berbicara up itu orang juga tidak bakal jera tidak merasa mal
love,"[USERNAME] HYUNMIN DOOONG!! MEREKA ITU RACUN BANGET KE GUEEE! KAPAL YANG PALING TULUS, KAPAL YANG PALING ROMANTIS BAGI GUE, MOMENT KECIL YANG MEREKA BUAT AJA UDAH BIKIN GONJANG-GANJING BODO AMAT DISINDIR SINDIR KAPAL LAIN WQWQWQ~ GUE SAYANG KAPAL INI T",hyunmin dng mereka itu racun sekali ke gu kapal yang paling tulus kapal yang paling romantis bagi saya momen kecil yang mereka buat saja sudah buat gonjang ganjing bodo sangat disindir sindir kapal lain wqwqwq saya sayang kapal ini t
sadness,pusing qlo gini pilih yang mana qlo gini (at pt airmas asri),pusing qlo begini pilih yang mana qlo begini at perseroan terbatas air mas asri
happy,"Kalian kerja qeras bagay quda banget yaa buat kambek kali ini T.T Baiklah, besok2 streaming melon ama mv nya lebih semangaaatttzzzsss yaaaaa [USERNAME] :""""""""""""""""))))))",kalian kerja qeras bagay kuda sekali ya buat kembali kali ini t t baik lah besok streaming melon sama mv nya lebih semang yaa
