Label,Raw_tweet,Cleaned_GPT
anger,"Tapi angin2an sih. Kadang ditindak, kadang enggak. Gak konsisten, jd gak fair. Siapa yg merasa gak fair, ya pmlik mbl yg pas parkir di situ, terus ditindak. Kitu sanes...??","Tapi angin-anginan sih. Kadang ditindak, kadang tidak. Tidak konsisten, jadi tidak fair. Siapa yang merasa tidak fair, ya pemilik mobil yang pas parkir di situ, terus ditindak. Kitu sanes...??"
happy,"Terima kasih yak buat kakak* diJakarta n Surabaya yg udh luangin waktunya buat meetup.. hehehehee , so sekarang saatnya off , sampai ketemu akhir bulan ya di Balikpapan dan Denpasar... GBU all","Terima kasih ya buat kakak di Jakarta dan Surabaya yang sudah meluangkan waktunya untuk meetup.. hehehe , jadi sekarang saatnya pulang , sampai jumpa akhir bulan di Balikpapan dan Denpasar... GBU all"
anger,"Lagi ngoceh soal artis xx yg di follow masku..ya ngoceh dikit Temen kerja gue komentar ""haha kasian ya lu beli tiket mahal cuma salaman kaga di folbek"" I was like ""-_________-"" Pfftt Males ngobrol ama orang gblk emang","Lagi mengoceh soal artis xx yang di follow masuk.. ya mengoceh sedikit Teman kerja saya komentar ""haha kasian ya kamu beli tiket mahal cuma bersalaman gak di followback"" I was like ""-_________-"" Pfftt Malas ngobrol dengan orang goblok memang"
sadness,"Yang saya lakukan ketika mikir keras : 1. Mantengin leptop berharap dapat ide. Buntu. 2. Nyetel musik berharap merilekskan otak, biar ada inspirasi. Buntu. 3. Glibag-glibug di kasur, merenung sambil meluk bantal. Kemudian ketiduran.","Yang saya lakukan ketika mikir keras adalah: 1. Mantengin laptop berharap dapat ide. Buntu. 2. Mendengarkan musik berharap bisa merilekskan otak, biar ada inspirasi. Buntu. 3. Bergelimpangan di kasur, merenung sambil memeluk bantal. Kemudian ketiduran."
anger,sama'y sudah g ush ganti ganti saja kali ya menyiksa batin sangat axis disini,"Sama'nya sudah jangan ganti-ganti saja kali ya, menyiksa batin sangat. Axis disini."
happy,oke (y) cek fav ka :),"Oke (ya), cek favorit kak :)"
sadness,Ingat saat kalian bergabung dengan Twitter? Saya ingat! dari smp entahlah sampai sekarang. dari yg pertama rame sekali twitter sampai hampa gt. tl sepe bgt hufth..kek hati saya gt. *eaaaaa hahahaha #HariJadiTwitterSaya [URL],"Ingat saat kalian bergabung dengan Twitter? Saya ingat! dari SMP entahlah sampai sekarang, dari yang pertama ramai sekali Twitter sampai hampa gitu. TL sepi banget huft... kayak hati saya gitu. *eaaaaa hahahaha #HariJadiTwitterSaya [URL]"
anger,kamu yang alay yah -_- kamu sih 4lay ih akoh molo sih seble :]x bagaikan menyiram luka pakai air,"Kamu yang alay, ya -_- Kamu itu alay banget, aku malah jadi sebel deh. Bagaikan menyiram luka dengan air."
happy,"sebenernya awal gua naksir yg coklat, tp wkt itu stock kosong T^T krn w kepo parah ama sound ini headphone dan keinginan untuk memiliki sudah terlalu kuat! jadinya beli yg ada stocknya aja.. akhirnya w berjodoh dengan ""STEEL""","Sebenernya awal saya naksir yang coklat, tapi waktu itu stock kosong karena saya kepo parah ama sound ini headphone dan keinginan untuk memiliki sudah terlalu kuat! Jadinya beli yang ada stocknya saja.. akhirnya saya berjodoh dengan ""STEEL"""
fear,"Berat badanku 77kg, aku minder, aku takut di bully, aku takut mereka yg bilang cantik itu langsing bukan C A N T I K Aku juga takut dibilang ""Gapura Kecamatan"" #janganbullyaku [URL]","Berat badanku 77 kg, aku minder, aku takut di bully, aku takut mereka yang bilang cantik itu langsing bukan CANTIK. Aku juga takut dibilang ""Gapura Kecamatan"" #janganbullyaku"
sadness,"(c.) jalan tol. Ia sungguh sedih mengingat kejadian-kejadian di kehidupannya. Tak kuat menahan sedih, dirinya mencoba mengakhiri hidupnya sambil menatap bayi Aurora yang tengah terlelap dan tersenyum. Tak kuasa melihat malaikat kecilnya yang begitu cantik mengurungkan niatnya (c","Jalan tol. Ia sungguh sedih mengingat kejadian-kejadian di kehidupannya. Tak kuat menahan sedih, dirinya mencoba mengakhiri hidupnya sambil menatap bayi Aurora yang tengah terlelap dan tersenyum. Tak kuasa melihat malaikat kecilnya yang begitu cantik mengurungkan niatnya."
anger,"Ya gue tau sih, bukan grup kita yg digituin. Tapi sesama cewek, terus dibilang bahan gituan.... masih bisa terima? Dia jelas2 public figure, dan ngomong dengan enaknya di video bahan c**i? Gue ngetik aja ga nyaman. Wah gue lisa digituin aja gue semarah ini, gimana bangtan? -.-","Ya saya tahu sih, bukan grup kita yang digituin. Tapi sesama cewek, terus dibilang bahan gituan.... masih bisa terima? Dia jelas-jelas public figure, dan ngomong dengan enaknya di video bahan coli? Saya ngetik saja tidak nyaman. Wah saya Lisa digituin saja saya se marah ini, gimana Bangtan? -.-"
fear,"ketika idung nyium bau bau gaenak lalu temen yg rumahnya lumayan jauh ngechat di wa ""kalian nyium bau gas ga ?"" NJIRRR IYA INI BAU GAS  INI BUKAN GAS BERACUN KAN HUH ? KO JADI PARNO SIH","Ketika hidung mencium bau tidak enak lalu teman yang rumahnya lumayan jauh mengirim pesan di WhatsApp ""kalian mencium bau gas ga?"" NJIRRR IYA INI BAU GAS INI BUKAN GAS BERACUN KAN HUH? KENAPA JADI PARANOID SIH"
fear,"/rlt guys aku mau nanya. Aku bingung, aku ketrima u'p'n vj sama un air. Aku suka jurusan yg di u pn tp aku anak daerah, agak takut di jkt. Dan yg un air uda dibayar. Mohon sarannya.","Guys aku mau bertanya. Aku bingung, aku diterima upnvj sama universitas negeri. Aku suka jurusan yang di upn tp aku anak daerah, agak takut di Jakarta. Dan yang universitas negeri sudah dibayar. Mohon sarannya."
anger,"heii..hey km para kaum adam hr gini msih mau aj Trnsfer""/ DP""sedihh kan klw di block stelah Tf...mk ny yg Real"" aja klw mw ktmuan sma kaum hawa...hihiiihii","Hei, hey kamu para kaum Adam hari ini masih mau aja transfer atau DP sedih kan kalau diblock setelah transfer. Mungkin yang real aja kalau mau ketemuan sama kaum hawa. hehehe"
anger,dia ! emang'a apa kya a tahu ! masalah'a sih sepele tapi bisa bikin saya ngedown,"Dia! Emangnya apa ya, kayaknya tau! Masalahnya sih sepele tapi bisa bikin saya down."
anger,Hey kamuuhhh!! semoga qt dijauhkan dari keputusan yang bodoh ituu Selamat menjalankan ibadah puasa juga budiirrr@olfi_opi,Hey kamu! Semoga kita dijauhkan dari keputusan yang bodoh itu. Selamat menjalankan ibadah puasa juga. @olfi_op
love,"Tadi Siang,Aku Mimpi Bang Tomi.Di Mimpi Itu Aku dan Bang Tomi Kelihatan Akrab...bngt.Sampe,Bang Tomi Ngerangkul Pundak Aku Erat...bngt.Apa,ya...Arti Mimpi itu...???","Tadi siang, aku mimpi Bang Tomi. Di mimpi itu aku dan Bang Tomi kelihatan akrab banget. Sampe, Bang Tomi merangkul pundak aku erat banget. Apa, ya...Arti mimpi itu...?"
happy,"Inget tebak tebakan dulu: Budi: ikan, ikan apa yang bentuknya segitiga? Aisyah: Ikan Sepat Budi: kurang tepat ayy Aisyah: trus apa dong! *Mendesak penasaran Budi: Iiikancut luuu.. Nb: Seketika hening, 5 detik kemudian tertawa malu. Wkwkwkwk #recehkantwitter","Inget tebak tebakan dulu: Budi: ikan, ikan apa yang bentuknya segitiga? Aisyah: Ikan Sepat Budi: kurang tepat ayy Aisyah: trus apa dong! *Mendesak penasaran Budi: ikancutlu.. Nb: Seketika hening, 5 detik kemudian tertawa malu. Wkwkwkwk #recehkantwitter"
fear,"+ Oleh paman nya kemarin. Namun tiba tiba ada seorang pria paruh baya datang menghampiri nya sambil membawa sebuah papan nama bertuliskan namanya. ""Ini mas jefry?"" Tanya nya dengan agak sedikit ragu karena sepertinya dia takut salah mengira orang +","Oleh paman nya kemarin. Namun tiba-tiba ada seorang pria paruh baya datang menghampiri nya sambil membawa sebuah papan nama bertuliskan namanya. ""Ini Mas Jefry?"" Tanya nya dengan agak sedikit ragu karena sepertinya dia takut salah mengira orang."
anger,"[USERNAME] .... Harga sepatu saja 13,6 jt.... Gimana mau bicara rakyat miskin.....?? Harga sepatu 13, 6 jt. Itu = 6 x rata2 UMR /bln Rakyat ..... Masih mau ngomong kemiskinan Rakyat....??","[USERNAME], harga sepatu saja 13,6 juta. Bagaimana mau bicara soal rakyat miskin? Harga sepatu 13,6 juta itu sama dengan enam kali rata-rata UMR per bulan rakyat. Masih mau membahas kemiskinan rakyat?"
anger,#CalonPenghuniNeraka INI SERIUS Buat elu semua para player troll player toxic player noob terutama di game vainglory Elu gak gue maafin. Jancok Neraka bangsaaaaat,"#CalonPenghuniNeraka INI SERIUS Buat kalian semua para pemain troll, pemain toxic, pemain noob terutama di game vainglory Kalian tidak akan aku maafkan. Jancok, Neraka bangsat!"
happy,"LoveLaws - TT (2018) Gak paham gue sama mbak gitaris Warpaint satu ini, keren banget. Gue denger album ini kayak exposing her romantic side nya gitu tp jir berhasil banget, vibe nya fierce tp vurnerable + seducing at the same time. W paling suka lagu Love Leaks sm I've Been Fine [URL]","LoveLaws - TT (2018) Gak paham gue sama mbak gitaris Warpaint satu ini, keren banget. Gue denger album ini kayak exposing her romantic side-nya gitu tapi jir berhasil banget, vibe-nya fierce tapi vulnerable dan seducing at the same time. W paling suka lagu Love Leaks sama I've Been Fine [URL]"
happy,Dulu kaya hampir setengah jam atau 2*x sesi jelasin org korea kata *Cie*...sampe pake di dramain biat pd nyambung... Akhirnya baru pd ngerti dan nemu padanan kata ke korea.. trus skrg gw yg lupa bhs koreanya cie apa hahahhaa [URL],"Dulu kaya hampir setengah jam atau dua kali sesi jelasin orang Korea kata ""Cie"" ... sampai pake di drama biar pada nyambung ... Akhirnya baru pada ngerti dan nemu padanan kata ke Korea .. trus sekarang gw yang lupa bahasa Koreanya cie apa hahahhaa [URL]"
fear,punya kebiasaan kekamar mandi tengah malem berhubung kamarmandinya lagi dibenerin jadi pake kamarmandi tempat lain tapi kamarmandinya serem I'm scared &gt&,"Punya kebiasaan ke kamar mandi tengah malam berhubung kamar mandinya lagi diperbaiki jadi pakai kamar mandi tempat lain tapi kamar mandinya serem, I'm scared 😨"
anger,"ELING GA SIH NIH 3????!!!!!! BIASANYA SECEPAT KILAT, SKRG LAMBAT BGT INSTAGRAM GA KE REFRESH SAMA SEKALI TWITTER JUGA SAMA!!!!!!!!!!! GIMANA NIH? BOSEN NANYAIN NOMOR MULU TAPI UDAH 5 HARI SELAMBAT INI [USERNAME]","ELING GA SIH NIH 3????!!!!!! BIASANYA SECEPAT KILAT, SEKARANG LAMBAT BANGET INSTAGRAM GAKE REFRESH SAMA SEKALI TWITTER JUGA SAMA!!!!!!!!!!! GIMANA NIH? BOSAN NANYAIN NOMOR MULU TAPI UDAH 5 HARI SE LAMBAT INI."
fear,[USERNAME] demi apapun w takut ama ntu hewan. trauma pernah digigit dan w abis itu ke rumah sakit gegara keracunan. padahal digigit sama yang kecil masih anaknya gitu tapi buset dah w langsung pusing lemes. jadi ampe sekarang kalau ngeliat ini hewan langsu,Demi apapun aku takut akan hewan itu. Trauma pernah digigit dan aku abis itu ke rumah sakit gegara keracunan. Padahal digigit sama yang kecil masih anaknya gitu tapi buset dah aku langsung pusing lemes.
love,":: meski aku golput.. tp salut [USERNAME] .. ia satu2nya presiden #RakyatIndonesia yg bisa menangis di depan publik... :: memang tak sedikit lawan2 politiknya.. mngcap dia sombong.. :: tapi, nyatanya, ia menangis.. :: :: #SaveNKRI [URL]","Meski aku golput, tapi salut [@USERNAME] ... ia satu-satunya presiden #RakyatIndonesia yang bisa menangis di depan publik... Memang tak sedikit lawan politiknya menilainya sombong... Tapi, nyatanya, ia menangis... #SaveNKRI [URL]"
anger,bacot parah galak kalau udah marah jan mau deh dimarahin lex. caca aja kapokgabisa dibohongin kalau ttg cinta tp knpa ttg lainnya lu bege ya susah beud disuruh tidur atau makan my human diary yang kita dkt gatau grgr,"Bacotnya parah, galak banget kalau sudah marah. Nggak mau deh dimarahin lagi sama Lex. Caca aja kapok. Nggak bisa dibohongi soal cinta, tapi kenapa soal yang lain kamu bandel banget, ya? Susah banget disuruh tidur atau makan. My human diary, kita dekat tapi nggak tahu kenapa begini"
fear,"[USERNAME] nyabutnya santae aja pake jari asal jgn kena kuku. beli softlennya yg emg bagus dan jelas. dulu ku pernah beli soflen di tmn cuma yg warna22an gt biasanya item. terus lg gangapa22in ujug22 gatel perih etaunya robek :,( untung cepet22 dikeluari",@[USERNAME] nyabutnya santai saja pakai jari asal jangan kena kuku. beli softlens yang memang bagus dan jelas. dulu ku pernah beli softlens di teman cuma yang warna-warni gitu biasanya item. terus lagi gangapain itu ujung-ujungnya gatel perih ketahuan robek :( untung cepat-cepat dikeluarkan
fear,Hanya mampu retweet bagi peminat cerita seram tengok je lah. Saya penakut. Kalau tengok kat wayang ni dengar suara aku sorang je menjerit walaupun tutup mata,Hanya mampu retweet bagi peminat cerita seram tengok saja. Saya penakut. Kalau tengok di wayang ini dengar suara aku sorang saja menjerit walaupun tutup mata
love,"Haha, tiap hari juga kamu selalu terpesona dan semakin terpesona sama aku kkk~","Haha, setiap hari juga kamu selalu terpesona dan semakin terpesona sama aku hehe"
fear,Apa yang akan kamu lakukan jika ada singa masuk ke rumahmu? nyuruh singanya makan kau. biar mati kenak makan singa. uh ngeri ya off anonla m h e h e,"Apa yang akan kamu lakukan jika ada singa masuk ke rumahmu? Menyuruh singanya makan kamu, biar mati kenak makan singa. Uh, ngeri ya..."
love,"Kalo udah sayang beneran itu mau dihadapkan sama cowok yang lebih tajir +++, ganteng +++, pinter +++, serba +++, dll itu pasti bakalan tetep ga mau berpindah","Kalau sudah sayang benaran itu mau dihadapkan sama cowok yang lebih tajir, ganteng, pinter, serba positif, dan lain-lain itu pasti bakalan tetap tidak mau berpindah"
fear,"[USERNAME] Lagi main di rumah temen tuh. Pas pipis liat cd udah merah gitu. Langsung izin pulang bilangnya mendadak sakit Pas sampe rumah bilang, ""itu""kakak berdarah mah. Takut. Soalnya emang pas main jatuh. Pas diliat dibilang mens. Hue besoknya pe","[USERNAME] Lagi main di rumah temen tuh. Pas pipis, lihat celana dalam udah merah gitu. Langsung izin pulang, bilangnya mendadak sakit. Pas sampai rumah bilang, 'Itu, Kak, berdarah, mah. Takut.' Soalnya emang pas main jatuh. Pas dilihat, dibilang mens. Huh, besoknya pusing."
love,SATU LAGI KALIAN DUA AKUN BASE YANG PALING AKU SAYANG. YANG PALING BISA MENGINGATKAN SATU SAMA LAIN. DAN MAKASIH BANYAK BUAT ADMIN2NYAAA ILY ILY ILY I PURPLE YOU! [USERNAME] [USERNAME] [USERNAME],SATU LAGI KALIAN DUA AKUN BASE YANG PALING AKU SAYANG. YANG PALING BISA MENGINGATKAN SATU SAMA LAIN. DAN MAKASIH BANYAK BUAT ADMIN-ADMINNYA I LOVE YOU I LOVE YOU I LOVE YOU I PURPLE YOU!
fear,[USERNAME] libur tapi ini tugas dikumpulin senin aq takut kalo tida selesai p.s sekali lagi ngirim foto yoongi yang macem gituan AQ BLOCK p.s.s SAME ENERGY WITH THIS PICT DJKDDJDLDL [URL],"Libur, tapi ini tugas dikumpulin Senin, aku takut kalau nggak selesai. Sekali lagi ngirim foto Yoongi yang macem gituan, AKU BLOKIR. P.S.S. SAME ENERGY WITH THIS PICTURE."
anger,"[USERNAME] [USERNAME] bisa juga dengan sepatah awalan di depan kalimat: ""makanya.........."" ""Kan udah gue bilang......."" ""Ngotot sih dikasih tau......"" ""Pala batu sih....."" Et cetera~","[USERNAME] [USERNAME] bisa juga dengan sepatah awalan di depan kalimat: ""makanya.........."" ""Kan udah gue bilang......."" ""Ngotot sih dikasih tau......"" ""Pala batu sih....."" Et cetera ~"
sadness,"*Ngbrol masalah gaji* Atasan aing : waktu itu gmna sih ndre detail gajimu? Yg di jelasin pak **** Aing: gatau pak, saya nanyain gaji aja malah di marahin Atasan aing:....... Aing:......... SAVAGE *langsung ada backsound mobile legend","""Ngebrol masalah gaji. Atasan saya: waktu itu gimana sih ndre detail gajimu? Yang dijelasin pak ****. Saya: gatau pak, saya nanyain gaji aja malah dimarahin. Atasan saya:....... Saya:....... SAVAGE *langsung ada backsound Mobile Legend."""
sadness,"Gue pun juga ngatain sesama perempuan, memutus rantai akan julit emang susah owislah~~ ibarate sego uwis dadi bubur~ flying money money","Aku pun juga mengatakan sesama perempuan, memutus rantai akan julit memang susah. ibarat sego sudah jadi bubur. flying money money"
anger,"Kasus via Vallen, itu juga sering terjadi kok, dari yang gue kenal orang nya sampai gk gue kenal orang nya, sering bertebaran gambar t*t*t di DM gue , messenger, WA lah yg gue lakukan block, block or report akun nya, kelar","Kasus Via Vallen, itu juga sering terjadi kok, dari yang gua kenal orangnya sampai enggak gua kenal orangnya, sering bertebaran gambar t*t*t di Direct Message gua, messenger, WhatsApp lah yang gua lakukan block, block or report akunnya, kelar"
fear,aku takut dngn smua bnda.. ap y bkl trjadi ap y tgh tjadi kat sekeliling aku.. aku takut dngn diri sndiri.. hate this feeling.. just wanna die rn.. fml,aku takut dengan semua benda.. apa yang bakal terjadi apa yang tengah berlaku di sekeliling aku.. aku takut dengan diri sendiri.. hate this feeling.. just wanna die right now.. family
anger,"[USERNAME] [USERNAME] [USERNAME] Dan lebihnya speak up itu dikatain lebay, cari sensasi dsb Mereka ga mikir, kalo mau speak up itu butuh keberanian, karna sebenernya pelecehan itu aib tp kalo ga speak up itu orang jg ga bakal jera, ga ngerasa mal","[USERNAME] [USERNAME] [USERNAME] Dan lebihnya speak up itu dikatain lebay, cari sensasi dan lain sebagainya. Mereka tidak mikir, kalau mau speak up itu butuh keberanian, karena sebenarnya pelecehan itu aib tapi kalau tidak speak up itu orang juga tidak bakal jera, tidak merasa mal"
love,"[USERNAME] HYUNMIN DOOONG!! MEREKA ITU RACUN BANGET KE GUEEE! KAPAL YANG PALING TULUS, KAPAL YANG PALING ROMANTIS BAGI GUE, MOMENT KECIL YANG MEREKA BUAT AJA UDAH BIKIN GONJANG-GANJING BODO AMAT DISINDIR SINDIR KAPAL LAIN WQWQWQ~ GUE SAYANG KAPAL INI T","HYUNMIN DONG!! MEREKA ITU RACUN BANGET KE GUE! KAPAL YANG PALING TULUS, KAPAL YANG PALING ROMANTIS BAGI GUE, MOMENT KECIL YANG MEREKA BUAT AJA UDAH BIKIN GONJANG-GANJING BODO AMAT DISINDIR-SINDIR KAPAL LAIN WQWQWQ~ GUE SAYANG KAPAL INI T"
sadness,pusing qlo gini pilih yang mana qlo gini (at pt airmas asri),"Pusing sekali begini, pilih yang mana begini. (di PT Airmas Asri)"
happy,"Kalian kerja qeras bagay quda banget yaa buat kambek kali ini T.T Baiklah, besok2 streaming melon ama mv nya lebih semangaaatttzzzsss yaaaaa [USERNAME] :""""""""""""""""))))))","Kalian kerja keras banget ya buat comeback kali ini. Baiklah, besok streaming Melon ama MV-nya lebih semangat ya! [USERNAME] :""))))))"
