Label,Raw_tweet,Cleaned_Traditional,Cleaned_GPT,Cleaned_GPT+Traditional,Translated_Traditional,Translated_GPT,Translated_GPT+Traditional
sadness,"Gegara td malem treak treak gemash ngliat indo kalah 2-1 sm thailand di kandang sendiri, kini tenggorokan minta digaruk -_________- yg nonton td mlm ngacung coba? Kalean tim mana nih?",gegara tadu malam treak treak gemash ngliat indonesia kalah sama thailand di kandang sendiri kini tenggorokan meminta digaruk _________ yang menonton tadu malam ngacung coba kalean tim mana nih,"Gegara tadi malam teriak teriak gemas melihat Indonesia kalah 2-1 sama Thailand di kandang sendiri, kini tenggorokan minta digaruk -_________- yang nonton tadi malam ngacung coba? Kalian tim mana nih?",gegara tadi malam teriak teriak gemas melihat indonesia kalah sama thailand di kandang sendiri kini tenggorokan meminta digaruk _________ yang menonton tadi malam ngacung coba kalian tim mana nih,because last night treak treak annoyed seeing Indonesia lose to Thailand at home now my throat is asking to be scratched _________ who watched last night raise your hand try which team you are,"Because last night we were screaming in exasperation seeing Indonesia lose 2-1 to Thailand at home, now our throats are begging to be scratched -_________- who watched last night, raise your hand? Which team are you on?","because last night I was screaming in exasperation seeing Indonesia lose to Thailand at home now my throat is asking to be scratched _________ who watched last night, raise your hand, which team are you on?"
anger,"Tapi angin2an sih. Kadang ditindak, kadang enggak. Gak konsisten, jd gak fair. Siapa yg merasa gak fair, ya pmlik mbl yg pas parkir di situ, terus ditindak. Kitu sanes...??",tetapi angin an sih kadang ditindak kadang tidak tidak konsisten jadi tidak adil siapa yang merasa tidak adil iya pemilik mbl yang pas parkir di situ terus ditindak kitu sanes,"Tapi angin-anginan sih. Kadang ditindak, kadang tidak. Tidak konsisten, jadi tidak fair. Siapa yang merasa tidak fair, ya pemilik mobil yang pas parkir di situ, terus ditindak. Kitu sanes...??",tetapi angin anginan sih kadang ditindak kadang tidak tidak konsisten jadi tidak adil siapa yang merasa tidak adil iya pemilik mobil yang pas parkir di situ terus ditindak kitu sanes,"but sometimes the wind is sometimes prosecuted, sometimes not, it's inconsistent, so it's unfair. Who feels it's unfair? Yes, the car owner who parked there was then prosecuted by Sanes.","But it's inconsistent. Sometimes they take action, sometimes they don't. It's inconsistent, so it's not fair. Who feels it's not fair, yes, the car owner who just parked there, then got action. Are we being rude...??","but it's just a matter of time, sometimes they take action, sometimes they don't, it's inconsistent, so it's unfair. Whoever feels it's unfair is the car owner who parks there and then gets action."
happy,"Terima kasih yak buat kakak* diJakarta n Surabaya yg udh luangin waktunya buat meetup.. hehehehee , so sekarang saatnya off , sampai ketemu akhir bulan ya di Balikpapan dan Denpasar... GBU all",terima kasih iya buat kakak di jakarta dan surabaya yang sudah meluangkan waktunya buat meetup hehehehee sok sekarang saatnya off sampai ketemu akhir bulan iya di balikpapan dan denpasar tuhan memberkati all,"Terima kasih ya buat kakak di Jakarta dan Surabaya yang sudah meluangkan waktunya untuk meetup.. hehehe , jadi sekarang saatnya pulang , sampai jumpa akhir bulan di Balikpapan dan Denpasar... GBU all",terima kasih iya buat kakak di jakarta dan surabaya yang sudah meluangkan waktunya untuk meetup hehe jadi sekarang saatnya pulang sampai jumpa akhir bulan di balikpapan dan denpasar tuhan memberkati all,"Thank you to the brothers and sisters in Jakarta and Surabaya who have taken the time to do the meetup, hehehehee, now it's time to take a break, see you at the end of the month, yes in Balikpapan and Denpasar, God bless you all","Thank you to the brothers and sisters in Jakarta and Surabaya who have taken the time to meet up... hehehe, so now it's time to go home, see you at the end of the month in Balikpapan and Denpasar... GBU all","Thank you to the brothers and sisters in Jakarta and Surabaya who have taken the time to meet up, hehe, so now it's time to go home, see you at the end of the month in Balikpapan and Denpasar, God bless you all."
anger,"Lagi ngoceh soal artis xx yg di follow masku..ya ngoceh dikit Temen kerja gue komentar ""haha kasian ya lu beli tiket mahal cuma salaman kaga di folbek"" I was like ""-_________-"" Pfftt Males ngobrol ama orang gblk emang",sedang mengoceh soal artis xx yang di follow mas ku iya mengoceh sedikit teman kerja saya komentar tertawa kasihan iya kamu beli tiket mahal cuma salaman kagak di ikuti kembali i was like _________ pfftt malas bicara sama orang goblok memang,"Lagi mengoceh soal artis xx yang di follow masuk.. ya mengoceh sedikit Teman kerja saya komentar ""haha kasian ya kamu beli tiket mahal cuma bersalaman gak di followback"" I was like ""-_________-"" Pfftt Malas ngobrol dengan orang goblok memang",sedang mengoceh soal artis xx yang di follow masuk iya mengoceh sedikit teman kerja saya komentar tertawa kasihan iya kamu beli tiket mahal cuma bersalaman tidak di followback i was like _________ pfftt malas bicara dengan orang goblok memang,was rambling about artist xx who was followed by my brother yes rambling a bit my coworker commented laughing pity yes you bought an expensive ticket just to shake hands but not followed back i was like _________ pfftt lazy to talk to stupid people indeed,"While I was rambling about artist xx who I followed in... yeah rambling a bit. My work colleague commented ""haha poor thing, you bought an expensive ticket just to shake hands without being followed back"" I was like ""-________-"" Pfftt I'm lazy to chat with stupid people indeed",was ranting about artist xx who was followed in yes rambling a bit my coworker commented laughing pity yes you bought an expensive ticket just shook hands not followed back i was like _________ pfftt lazy to talk to stupid people indeed
sadness,"Yang saya lakukan ketika mikir keras : 1. Mantengin leptop berharap dapat ide. Buntu. 2. Nyetel musik berharap merilekskan otak, biar ada inspirasi. Buntu. 3. Glibag-glibug di kasur, merenung sambil meluk bantal. Kemudian ketiduran.",yang saya lakukan ketika pikir keras mantengin leptop berharap dapat ide buntu setel musik berharap merilekskan otak biar ada inspirasi buntu glibag glibug di kasur merenung sambil memeluk bantal kemudian ketiduran,"Yang saya lakukan ketika mikir keras adalah: 1. Mantengin laptop berharap dapat ide. Buntu. 2. Mendengarkan musik berharap bisa merilekskan otak, biar ada inspirasi. Buntu. 3. Bergelimpangan di kasur, merenung sambil memeluk bantal. Kemudian ketiduran.",yang saya lakukan ketika pikir keras adalah mantengin laptop berharap dapat ide buntu mendengarkan musik berharap bisa merilekskan otak biar ada inspirasi buntu bergelimpangan di kasur merenung sambil memeluk bantal kemudian ketiduran,"what I do when I'm thinking hard, staring at my laptop hoping to get an idea, I'm stuck, playing music hoping to relax my brain so I can get inspiration, I'm stuck, lying on the bed, contemplating while hugging a pillow, then falling asleep","What I do when I think hard is: 1. Stare at my laptop hoping to get an idea. Deadlocked. 2. Listen to music hoping to relax my brain, so I can get inspiration. Deadlocked. 3. Lie on the bed, contemplating while hugging a pillow. Then fall asleep.","What I do when I'm thinking hard is stare at my laptop hoping to get an idea, listen to music hoping to relax my brain so I can get inspiration, lie down on the bed, think while hugging a pillow, then fall asleep"
anger,sama'y sudah g ush ganti ganti saja kali ya menyiksa batin sangat axis disini,samanye sudah maling semua tidak sih jancok tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling,"Sama'nya sudah jangan ganti-ganti saja kali ya, menyiksa batin sangat. Axis disini.",sama nya sudah jangan ganti ganti saja kali iya menyiksa batin sangat axis disini,"Samanye are all thieves, aren't they all chumps, dogs or monkeys, haha, one heart is the same as a thief","It's the same, don't just keep changing it, it's really torturous. Axis is here.","It's the same, don't change it, maybe it's really torturing the soul here"
anger,sama'y sudah g ush ganti ganti saja kali ya menyiksa batin sangat axis disini,samanye sudah maling semua tidak sih jancok tidak sih anjing tidak sih siluman monyet haha satu hati sama sama maling,"Sama'nya sudah jangan ganti-ganti saja kali ya, menyiksa batin sangat. Axis disini.",sama nya sudah jangan ganti ganti saja kali iya menyiksa batin sangat axis disini,"Samanye are all thieves, aren't they all chumps, dogs or monkeys, haha, one heart is the same as a thief","It's the same, don't just keep changing it, it's really torturous. Axis is here.","It's the same, don't change it, maybe it's really torturing the soul here"
happy,oke (y) cek fav ka :),oke ya cek favorit kak,"Oke (ya), cek favorit kak :)",oke iya cek favorit kakak,okay yeah check your favorites sis,"Okay (yes), check your favorites sis :)",okay yes check your favorites
sadness,Ingat saat kalian bergabung dengan Twitter? Saya ingat! dari smp entahlah sampai sekarang. dari yg pertama rame sekali twitter sampai hampa gt. tl sepe bgt hufth..kek hati saya gt. *eaaaaa hahahaha #HariJadiTwitterSaya [URL],ingat saat kalian bergabung dengan twitter saya ingat dari Sekolah Menengah Pertama entahlah sampai sekarang dari yang pertama ramai sekali twitter sampai hampa begitu tl sepi sangat hufth kayak hati saya begitu eaa hahahaha harijaditwittersaya,"Ingat saat kalian bergabung dengan Twitter? Saya ingat! dari SMP entahlah sampai sekarang, dari yang pertama ramai sekali Twitter sampai hampa gitu. TL sepi banget huft... kayak hati saya gitu. *eaaaaa hahahaha #HariJadiTwitterSaya [URL]",ingat saat kalian bergabung dengan twitter saya ingat dari Sekolah Menengah Pertama entahlah sampai sekarang dari yang pertama ramai sekali twitter sampai hampa begitu tl sepi sekali mengeluh mirip hati saya begitu eaa hahahaha harijaditwittersaya,remember when you joined twitter I remember from junior high school I don't know until now from the first time twitter was very busy until it was so empty tl very quiet hufth like my heart was like that e aa hahahaha my twitter anniversary,"Remember when you joined Twitter? I remember! From junior high school until now, from when Twitter was really busy until it was so empty. TL was really quiet huft... just like my heart. *eaaaaa hahahaha #MyTwitterAnniversary [URL]",remember when you joined twitter I remember from junior high school I don't know until now from the first time twitter was very busy until it was so empty tl very quiet complaining like my heart like that e aa hahahaha my twitter anniversary
anger,kamu yang alay yah -_- kamu sih 4lay ih akoh molo sih seble :]x bagaikan menyiram luka pakai air,kamu yang norak ya _ kamu sih lay ih saya molo sih sebal x bagaikan menyiram luka pakai air,"Kamu yang alay, ya -_- Kamu itu alay banget, aku malah jadi sebel deh. Bagaikan menyiram luka dengan air.",kamu yang norak iya _ kamu itu norak banget saya bahkan jadi kesal deh bagaikan menyiram luka dengan air,"You're the cheesy one, huh? You're so lazy, I'm annoyed, it's like pouring water on a wound","You're the one who's cheesy, huh -_- You're so cheesy, I'm actually annoyed. It's like pouring water on a wound.","You're the one who's cheesy, yeah _ you're so cheesy, I even got annoyed, it's like pouring water on a wound"
happy,"sebenernya awal gua naksir yg coklat, tp wkt itu stock kosong T^T krn w kepo parah ama sound ini headphone dan keinginan untuk memiliki sudah terlalu kuat! jadinya beli yg ada stocknya aja.. akhirnya w berjodoh dengan ""STEEL""",sebenarnya awal saya menaksir yang coklat tetapi waktu itu stock kosong t t karena saya ingin tahu parah sama sound ini headphone dan keinginan untuk memiliki sudah terlalu kuat jadinya beli yang ada stocknya aja akhirnya saya berjodoh dengan baja,"Sebenernya awal saya naksir yang coklat, tapi waktu itu stock kosong karena saya kepo parah ama sound ini headphone dan keinginan untuk memiliki sudah terlalu kuat! Jadinya beli yang ada stocknya saja.. akhirnya saya berjodoh dengan ""STEEL""",sebenarnya awal saya menaksir yang coklat tetapi waktu itu stock kosong karena saya ingin tahu parah sama sound ini headphone dan keinginan untuk memiliki sudah terlalu kuat jadinya beli yang ada stocknya saja akhirnya saya berjodoh dengan baja,"Actually, at first I was interested in the brown one but at that time the stock was empty t t because I was really curious about the sound of this headphone and the desire to have it was too strong so I just bought the one that was in stock, finally I fell in love with the steel one","Actually, at first I had a crush on the brown one, but at that time the stock was empty because I was really curious about the sound of this headphone and the desire to have it was too strong! So I just bought the one that was in stock.. finally I was destined to have ""STEEL""","Actually, at first I was interested in the brown one but at that time it was out of stock because I was really curious about the sound of this headphone and the desire to have it was too strong so I just bought the one that was in stock, in the end I ended up with the steel one."
fear,"Berat badanku 77kg, aku minder, aku takut di bully, aku takut mereka yg bilang cantik itu langsing bukan C A N T I K Aku juga takut dibilang ""Gapura Kecamatan"" #janganbullyaku [URL]",berat badanku kilogram saya minder saya takut di rundung saya takut mereka yang bilang cantik itu langsing bukan sih a dan t i ke saya juga takut dibilang gapura kecamatan janganbullyaku,"Berat badanku 77 kg, aku minder, aku takut di bully, aku takut mereka yang bilang cantik itu langsing bukan CANTIK. Aku juga takut dibilang ""Gapura Kecamatan"" #janganbullyaku",berat badanku kilogram saya minder saya takut di rundung saya takut mereka yang bilang cantik itu langsing bukan cantik saya juga takut dibilang gapura kecamatan janganbullyaku,"My weight is kilograms I am insecure I am afraid of being bullied I am afraid of those who say that beautiful means being slim, right? A and T I Ke I am also afraid of being called a sub-district gate don't bully me","My weight is 77 kg, I'm insecure, I'm afraid of being bullied, I'm afraid of those who say beautiful are slim not BEAUTIFUL. I'm also afraid of being called ""District Gate"" #don'tbullyme",My weight is kilograms I am insecure I am afraid of being bullied I am afraid of those who say that beauty means being slim not beautiful I am also afraid of being called a sub-district gate don't bully me
sadness,"(c.) jalan tol. Ia sungguh sedih mengingat kejadian-kejadian di kehidupannya. Tak kuat menahan sedih, dirinya mencoba mengakhiri hidupnya sambil menatap bayi Aurora yang tengah terlelap dan tersenyum. Tak kuasa melihat malaikat kecilnya yang begitu cantik mengurungkan niatnya (c",sih jalan tol ia sungguh sedih mengingat kejadian kejadian di kehidupannya tidak kuat menahan sedih dirinya mencoba mengakhiri hidupnya sambil menatap bayi aurora yang tengah terlelap dan tersenyum tidak kuasa melihat malaikat kecil nya yang begitu cantik mengurungkan niatnya sih,"Jalan tol. Ia sungguh sedih mengingat kejadian-kejadian di kehidupannya. Tak kuat menahan sedih, dirinya mencoba mengakhiri hidupnya sambil menatap bayi Aurora yang tengah terlelap dan tersenyum. Tak kuasa melihat malaikat kecilnya yang begitu cantik mengurungkan niatnya.",jalan tol ia sungguh sedih mengingat kejadian kejadian di kehidupannya tidak kuat menahan sedih dirinya mencoba mengakhiri hidupnya sambil menatap bayi aurora yang tengah terlelap dan tersenyum tidak kuasa melihat malaikat kecil nya yang begitu cantik mengurungkan niatnya,hey toll road he was really sad remembering the events in his life he couldn't hold back his sadness he tried to end his life while looking at baby aurora who was sleeping and smiling he couldn't bear to see his little angel who was so beautiful he changed his mind,"Toll road. He was really sad remembering the events in his life. Unable to hold back his sadness, he tried to end his life while looking at baby Aurora who was sleeping and smiling. Unable to see his beautiful little angel, he changed his mind.",toll road he was really sad remembering the events in his life he couldn't hold back his sadness he tried to end his life while looking at baby aurora who was sleeping and smiling he couldn't bear to see his little angel who was so beautiful he changed his mind
anger,"Ya gue tau sih, bukan grup kita yg digituin. Tapi sesama cewek, terus dibilang bahan gituan.... masih bisa terima? Dia jelas2 public figure, dan ngomong dengan enaknya di video bahan c**i? Gue ngetik aja ga nyaman. Wah gue lisa digituin aja gue semarah ini, gimana bangtan? -.-",iya saya tahu sih bukan grup kita yang diperlakukan seperti itu tetapi sesama cewek terus dibilang bahan begituan masih bisa terima dia jelas public figure dan bicara dengan enaknya di video bahan sih i saya ketik saja tidak nyaman wah saya lisa diperlakukan seperti itu saja saya semarah ini bagaimana bangtan,"Ya saya tahu sih, bukan grup kita yang digituin. Tapi sesama cewek, terus dibilang bahan gituan.... masih bisa terima? Dia jelas-jelas public figure, dan ngomong dengan enaknya di video bahan coli? Saya ngetik saja tidak nyaman. Wah saya Lisa digituin saja saya se marah ini, gimana Bangtan? -.-",iya saya tahu sih bukan grup kita yang diperlakukan seperti itu tetapi sesama cewek terus dibilang bahan begituan masih bisa terima dia jelas jelas public figure dan bicara dengan enaknya di video bahan coli saya ketik saja tidak nyaman wah saya lisa diperlakukan seperti itu saja saya se marah ini bagaimana bangtan,"Yes, I know that it's not our group that is being treated like that, but fellow girls are constantly being called something like that, but we can still accept it. She's clearly a public figure and speaks so well in videos. It's something. I just typed it, it's uncomfortable. Wow, Lisa, I'm being treated like that. I'm this angry. What do you think, Bangtan?","Yeah I know, it's not our group that's being treated like that. But fellow girls, and then being called something like that.... can you still accept it? She's clearly a public figure, and she speaks so comfortably in a video that she's something to masturbate to? I don't feel comfortable just typing. Wow, I'm Lisa, but I'm this angry, what about Bangtan? -.-","Yes, I know that it's not our group that is treated like that, but fellow girls are constantly being called that kind of material, but they can still accept it. She's clearly a public figure and speaks so nicely in the video. I just type it, it's uncomfortable. Wow, Lisa, being treated like that makes me this angry. Bangtan"
